CountryCode,SeriesCode,Year,DESCRIPTION
"AFG","IT.NET.USER.ZS","YR1990","Source: Ministry of Communications."
"AFG","IT.NET.USER.ZS","YR2001","ITU estimate."
"AFG","IT.NET.USER.ZS","YR2002","Ministry of Communications."
"AFG","IT.NET.USER.ZS","YR2003","Ministry of Communications."
"AFG","IT.NET.USER.ZS","YR2004","Ministry of Communications."
"AFG","IT.NET.USER.ZS","YR2005","Ministry of Communications."
"AFG","IT.NET.USER.ZS","YR2006","Ministry of Communications."
"AFG","IT.NET.USER.ZS","YR2007","ITU estimate.
ITU estimate.
ITU estimate."
"AFG","IT.NET.USER.ZS","YR2008","Ministry of Communications & Information Technology"
"AFG","IT.NET.USER.ZS","YR2009","Ministry of Communications & Information Technology"
"AFG","IT.NET.USER.ZS","YR2010","ITU estimate."
"AFG","IT.NET.USER.ZS","YR2011","ITU estimate."
"AFG","IT.NET.USER.ZS","YR2012","ITU estimate."
"AFG","IT.NET.USER.ZS","YR2013","ITU estimate."
"AFG","IT.NET.USER.ZS","YR2014","ITU estimate."
"AFG","IT.NET.USER.ZS","YR2015","ITU estimate."
"AFG","IT.NET.USER.ZS","YR2016","ITU estimate."
"AFG","IT.NET.USER.ZS","YR2017","Asia Foundation, ITU estimate."
"AFG","IT.NET.USER.ZS","YR2018","Asia Foundation, ITU estimate."
"AFG","IT.NET.USER.ZS","YR2019","Asia Foundation, ITU estimate."
"AFG","SE.ADT.LITR.ZS","YR2015","UIS Estimation"
"AFG","SE.ENR.PRSC.FM.ZS","YR2001","Should be treated as NIL"
"AFG","SE.ENR.PRSC.FM.ZS","YR2003","UIS Estimation"
"AFG","SH.DYN.MORT","YR1960","Uncertainty bound is 298.6 - 420.5"
"AFG","SH.DYN.MORT","YR1961","Uncertainty bound is 298.6 - 409.2"
"AFG","SH.DYN.MORT","YR1962","Uncertainty bound is 297 - 398.3"
"AFG","SH.DYN.MORT","YR1963","Uncertainty bound is 294.6 - 388.9"
"AFG","SH.DYN.MORT","YR1964","Uncertainty bound is 291.1 - 380.2"
"AFG","SH.DYN.MORT","YR1965","Uncertainty bound is 288 - 372.6"
"AFG","SH.DYN.MORT","YR1966","Uncertainty bound is 283.5 - 365.4"
"AFG","SH.DYN.MORT","YR1967","Uncertainty bound is 278.9 - 359"
"AFG","SH.DYN.MORT","YR1968","Uncertainty bound is 274.4 - 353.2"
"AFG","SH.DYN.MORT","YR1969","Uncertainty bound is 269.9 - 347.7"
"AFG","SH.DYN.MORT","YR1970","Uncertainty bound is 265.5 - 341.7"
"AFG","SH.DYN.MORT","YR1971","Uncertainty bound is 260.7 - 336.5"
"AFG","SH.DYN.MORT","YR1972","Uncertainty bound is 256.4 - 330.9"
"AFG","SH.DYN.MORT","YR1973","Uncertainty bound is 252 - 324.9"
"AFG","SH.DYN.MORT","YR1974","Uncertainty bound is 247.7 - 318.2"
"AFG","SH.DYN.MORT","YR1975","Uncertainty bound is 243.4 - 311.6"
"AFG","SH.DYN.MORT","YR1976","Uncertainty bound is 239.3 - 304.9"
"AFG","SH.DYN.MORT","YR1977","Uncertainty bound is 234.4 - 298.1"
"AFG","SH.DYN.MORT","YR1978","Uncertainty bound is 229.7 - 291.3"
"AFG","SH.DYN.MORT","YR1979","Uncertainty bound is 224.4 - 284.5"
"AFG","SH.DYN.MORT","YR1980","Uncertainty bound is 219.5 - 277.1"
"AFG","SH.DYN.MORT","YR1981","Uncertainty bound is 214.4 - 269.8"
"AFG","SH.DYN.MORT","YR1982","Uncertainty bound is 251.3 - 315.1"
"AFG","SH.DYN.MORT","YR1983","Uncertainty bound is 246.5 - 308.4"
"AFG","SH.DYN.MORT","YR1984","Uncertainty bound is 278.6 - 346.2"
"AFG","SH.DYN.MORT","YR1985","Uncertainty bound is 271.9 - 335.8"
"AFG","SH.DYN.MORT","YR1986","Uncertainty bound is 229.1 - 281.2"
"AFG","SH.DYN.MORT","YR1987","Uncertainty bound is 224.1 - 273.3"
"AFG","SH.DYN.MORT","YR1988","Uncertainty bound is 198.4 - 240.6"
"AFG","SH.DYN.MORT","YR1989","Uncertainty bound is 170.6 - 205.3"
"AFG","SH.DYN.MORT","YR1990","Uncertainty bound is 165.1 - 197.6"
"AFG","SH.DYN.MORT","YR1991","Uncertainty bound is 159.9 - 190.3"
"AFG","SH.DYN.MORT","YR1992","Uncertainty bound is 154.8 - 183.5"
"AFG","SH.DYN.MORT","YR1993","Uncertainty bound is 149.9 - 177.3"
"AFG","SH.DYN.MORT","YR1994","Uncertainty bound is 145.4 - 171.3"
"AFG","SH.DYN.MORT","YR1995","Uncertainty bound is 141.1 - 165.8"
